CHR	startp	endp	n.sgRNAs	avg.logFC	guideIdx
19	30499915	34900163	130	-0.0944	76963, 77092
19	34919433	34935985	5	-1.5169	77093, 77097
19	34972954	36105961	171	-0.0809	77098, 77268
19	36108045	36122265	8	-1.3424	77269, 77276
19	36122270	36134498	6	0.1412	77277, 77282
19	36142229	36145559	5	-1.063	77283, 77287
19	36159383	36605093	117	-0.122	77288, 77404
19	36605100	36611704	9	-1.8607	77405, 77413
19	36632081	39322039	276	0.0022	77414, 77689
19	39334646	39336572	5	-2.4109	77690, 77694
19	39360822	39401727	20	0.0357	77695, 77714
19	39409423	39423186	10	-0.8209	77715, 77724
19	39439193	39867121	56	-0.1202	77725, 77780
19	39879615	39912929	20	-0.6987	77781, 77800
19	39924292	39960855	9	-3.5375	77801, 77809
19	39971350	40321359	51	0.0362	77810, 77860
19	40329743	40430488	10	-1.1519	77861, 77870
19	40478379	40480678	5	-3.2107	77871, 77875
19	40512002	42352564	240	-0.0784	77876, 78115
19	42365186	42373171	5	-4.1584	78116, 78120
19	42383096	45368922	376	-0.1049	78121, 78496
19	45394817	45396160	5	-1.9139	78497, 78501
19	45411121	45851297	82	-0.1451	78502, 78583
19	45868157	45923689	16	-0.8502	78584, 78599
19	45924434	46178044	54	-0.1684	78600, 78653
19	46190925	46191677	5	-3.6011	78654, 78658
19	46196041	46318290	30	-0.1536	78659, 78688
19	46332444	46351245	5	-1.5567	78689, 78693
19	46375366	47282159	120	-0.0024	78694, 78813
19	47341795	47349293	7	-1.6951	78814, 78820
19	47422618	47588653	18	-0.0123	78821, 78838
19	47597219	47653476	6	-1.1756	78839, 78844
19	47658448	47987244	59	-0.237	78845, 78903
19	47996385	48006762	5	-3.6532	78904, 78908
19	48047802	49116522	145	-0.2303	78909, 79053
19	49119345	49120585	5	-3.8374	79054, 79058
19	49129453	49494666	99	-0.0756	79059, 79157
19	49507615	49513317	5	-3.4468	79158, 79162
19	49519495	49575637	13	-0.2802	79163, 79175
19	49589779	49608002	4	-2.1616	79176, 79179
19	49610950	49982311	82	-0.0853	79180, 79261
19	49993474	50001272	9	-3.7933	79262, 79270
19	50017239	50140346	28	0.0106	79271, 79298
19	50140339	50170415	21	-0.4547	79299, 79319
19	50185192	50185485	4	-1.4658	79320, 79323
19	50185494	50399089	55	-0.0776	79324, 79378
19	50412386	50412926	5	-1.4067	79379, 79383
19	50434181	50883078	45	-0.0515	79384, 79428
19	50905092	50906801	5	-3.3795	79429, 79433
19	50925772	52660789	332	0.0871	79434, 79765
19	52705239	52716219	4	-1.6129	79766, 79769
19	52716322	54617885	204	0.0101	79770, 79973
19	54625281	54649457	10	-3.2991	79974, 79983
19	54660670	54696149	20	-0.16	79984, 80003
19	54705350	54710338	5	-3.0334	80004, 80008
19	54725025	55895445	242	0.0305	80009, 80250
19	55897933	55915821	13	-1.0458	80251, 80263
19	55915827	56171571	72	0.0334	80264, 80335
19	56171904	56174996	3	-2.785	80336, 80338
19	56190105	57648318	126	0.1398	80339, 80464
19	57669809	57670586	4	-1.2397	80465, 80468
19	57722870	58880533	227	0.0722	80469, 80695
19	58904432	58904790	4	-2.5069	80696, 80699
19	58921435	59059892	40	0.092	80700, 80739
19	59063659	59068508	8	-2.4678	80740, 80747
19	59068505	59082663	7	-0.3517	80748, 80754
20	76696	2444510	197	0.0776	80755, 80951
20	2446398	2446435	2	-4.2896	80952, 80953
20	2464726	2577956	10	0.0129	80954, 80963
20	2634021	2636002	5	-1.9253	80964, 80968
20	2641406	5090074	197	0.1256	80969, 81165
20	5098257	5163791	10	-2.6052	81166, 81175
20	5283260	13755824	129	0.0116	81176, 81304
20	13756633	13763639	4	-1.4626	81305, 81308
20	13765816	18449675	97	0.0297	81309, 81405
20	18453494	18454087	2	-4.2002	81406, 81407
20	18460674	19955900	36	0.0997	81408, 81443
20	20006368	20007460	4	-1.3956	81444, 81447
20	20007450	20029110	6	-3.4339	81448, 81453
20	20051574	20601131	15	0.2008	81454, 81468
20	21309266	21324753	5	-1.2277	81469, 81473
20	21377102	23066575	34	0.1427	81474, 81507
20	23334751	23334935	5	-2.2314	81508, 81512
20	23345247	25371232	103	0.0679	81513, 81615
20	25394478	25405931	5	-2.5991	81616, 81620
20	25470558	30231225	67	0.0622	81621, 81687
20	30231216	30365452	11	-1.1056	81688, 81698
20	30407989	30536648	24	0.0773	81699, 81722
20	30536673	30538189	3	-2.3562	81723, 81725
20	30539676	32349816	149	0.0528	81726, 81874
20	32399372	32436425	5	-2.2632	81875, 81879
20	32660006	32663780	5	0.0243	81880, 81884
20	32684507	32685243	2	-5.8192	81885, 81886
20	32686314	33033203	17	-0.1334	81887, 81903
20	33122432	33122493	3	-2.3056	81904, 81906
20	33122486	33842563	62	0.0067	81907, 81968
20	33872011	33872224	4	-3.3273	81969, 81972
20	33875562	34242740	43	-0.0171	81973, 82015
20	34243062	34317241	17	-1.7415	82016, 82032
20	34430597	43992288	402	-0.0556	82033, 82434
20	43992290	43995547	5	-2.4283	82435, 82439
20	44003856	44443039	79	0.086	82440, 82518
20	44443066	44462954	14	-0.7017	82519, 82532
20	44462950	45242106	101	0.0739	82533, 82633
20	45315725	45317926	5	-1.3318	82634, 82638
20	45353875	47601990	35	0.0278	82639, 82673
20	47682748	47695131	5	-4.3376	82674, 82678
20	47739659	54941134	171	-0.0363	82679, 82849
20	54958026	55059261	20	-1.1653	82850, 82869
20	55099957	55929863	27	-0.0483	82870, 82896
20	55931490	55942142	3	-2.5493	82897, 82899
20	55966728	57429463	71	0.1635	82900, 82970
20	57478839	57564946	10	-0.6191	82971, 82980
20	57576537	57598968	10	0.1244	82981, 82990
20	57611589	57613641	5	-4.1691	82991, 82995
20	57766291	60704874	60	0.1317	82996, 83055
20	60714155	60714955	5	-3.4394	83056, 83060
20	60734970	60937561	30	-0.2713	83061, 83090
20	60962702	60962967	5	-3.1445	83091, 83095
20	60968607	62328782	151	0.0221	83096, 83246
20	62333183	62338085	12	-1.6991	83247, 83258
20	62340353	62896703	94	0.0605	83259, 83352
21	10942739	27097648	76	0.0516	83353, 83428
21	27097652	27130427	9	-1.0384	83429, 83437
21	27354737	30411401	40	0.0863	83438, 83477
21	30435732	30439315	5	-3.5388	83478, 83482
21	30521535	33956516	176	0.026	83483, 83658
21	33976559	33984459	5	-1.6429	83659, 83663
21	34045755	34922442	61	0.0259	83664, 83724
21	34923562	34971554	10	-1.5637	83725, 83734
21	34974526	37732323	87	0.1221	83735, 83821
21	37760000	37775070	4	-2.1352	83822, 83825
21	37775127	39427073	47	0.1396	83826, 83872
21	39492412	39493253	4	-1.037	83873, 83876
21	39671349	44492182	181	0.1473	83877, 84057
21	44514655	44514822	3	-4.1939	84058, 84060
21	44514885	44515565	2	-1.0949	84061, 84062
21	44590619	45209627	29	0.1021	84063, 84091
21	45213228	45217843	4	-1.8947	84092, 84095
21	45387886	45502767	10	0.1463	84096, 84105
21	45533654	45540363	5	-1.9189	84106, 84110
21	45553990	47641872	168	0.0863	84111, 84278
21	47686890	47704193	4	-1.9102	84279, 84282
21	47704201	48068418	31	0.1892	84283, 84313
22	17072628	18065418	43	-0.1617	84314, 84356
22	18082817	18095587	3	-4.3408	84357, 84359
22	18095582	19435230	100	-0.2951	84360, 84459
22	19455459	19486651	9	-2.8462	84460, 84468
22	19492922	21800065	163	-0.1681	84469, 84631
22	21947178	21975859	6	-1.4034	84632, 84637
