genes	921	Mel202	Mel270	Mel285	MP38	MP41	MP46	OMM1	OMM23	OMM25
HNRNPAB	0.11666319918993862	0.07345306080468887	-0.14918548448879834	-0.031695310544122945	-0.18416547825372795	0.02217266417045759	0.03529828010809408	-0.48174240897434445	-0.01826779807077653	-0.47177803748577724
PHYKPL	0.3180292600485021	0.08635183275157429	-0.08103170720845922	0.03622658526321477	-0.06512691611645946	0.02985687002633054	0.031744294572187824	-0.11675996670494809	0.19328975463458115	0.02438217274724795
COL23A1	0.5223853686879627	0.1197869470902043	0.15802372235427714	0.3121763418883919	-0.019489167487091293	0.1392537847125873	0.10890736163570612	0.15072322768224755	0.177673408540516	0.09033111831186386
CLK4	0.41535543334194863	-0.19278529120210902	-0.23560594170066765	-0.2026455149324967	-0.3910903381040155	-0.29600764309794925	-0.4155895024295402	-0.24859942429777626	-0.1696538322651257	-0.464615900551049
ZNF354A	-0.7427315621335434	0.008803406260392053	0.30910187357454716	0.2094538966911555	0.16874333602835584	0.2067517172533099	0.3282212127332356	0.041707202599944926	0.22729919350622818	0.25839668486835926
ZNF354B	0.44734974534329996	0.13338038186887197	0.36515662987631264	0.2596485140776881	0.2202346807640038	0.06193637995603061	0.18546107317839278	0.19776383715125598	0.35025071627465026	0.21563177639153103
ZFP2	0.08550803127541746	0.05638168793558828	0.0641622305047329	0.21056144764495	0.17527503744346762	0.09776586658302888	0.12358807049284827	0.1760685412427001	0.20650058607079738	0.05769419792485015
ZNF454	-6.275695939737868e-4	-0.12731852958455092	-0.01699864646243525	0.21902352387670546	-0.023905331709222842	0.013065363831112757	0.001641574295743034	0.12290242670806979	-0.004226375248572151	-0.044863553184702046
GRM6	0.4134998726177341	0.2719263341484712	0.38278976829032135	0.43769690858401816	0.2089528855520509	0.2902953716085369	0.1895005435978064	0.20272224967691882	0.3446746121162916	0.41072155048554504
ZNF879	-0.2522449212615344	0.11347869972982433	0.04270637856417306	-0.03887286926095414	0.002670000020691979	-0.01752332023901238	0.04668195773635171	-0.0017118017743861513	0.16019538700448707	-0.047418168419242936
ZNF354C	-0.5775736526141115	-0.1364863129091041	0.15120561469839855	0.15593498624998198	-0.018037504873536322	0.07005421406022806	-0.10792054838575582	-0.20495827019233426	0.06952941166513883	0.104974037718735
ADAMTS2	0.3040469841825102	-0.19025868270781995	0.17820953509878143	0.10408265362447763	0.02499267821809193	0.019083484459015154	0.18206742192500713	0.2079404706062207	0.39299835989813253	-0.012276449495999757
RUFY1	0.42846200286837427	-0.2167135341860314	0.0912435521855441	0.22401447353355086	0.14969244374150215	0.08592428611439568	0.19716864313273394	-0.04605608372356869	0.45059247396830926	-0.12117942931136119
HNRNPH1	-0.3427198627173916	-0.9813601857973954	-0.7684589438527556	-0.5130882404606875	-0.4820250625047352	-0.8690509239064325	-0.12209880666643266	-1.0072521239030896	-1.442694955337428	-1.111891631521877
C5orf60	-0.1859208635970158	-0.07202993827920812	0.08239508838184299	-0.1640749182644542	0.16482821996722696	-0.027836900309666356	0.14563480073934054	-0.05384603019988675	0.02420855535409263	0.008397510285887758
CBY3	0.3381191811031121	-0.1062566238742852	0.055216115630005926	0.18856771331885824	0.07805800113431995	0.006940147219259822	0.0705150418000454	-0.023908332164069755	0.23667185028888613	0.08563042965674966
CANX	-0.096943657819053	-0.029702497728128913	-0.16514305431199744	-0.3558457021954314	0.1584738756199861	-0.20173656686923533	-0.27557846652935597	-0.2153577998233006	-0.1520717781523209	-0.10395110284178974
MAML1	-0.06846435146004823	-0.2026789944595835	-0.03837916092134844	-0.1519633552639526	0.026445108879610692	-0.060727368453439796	-0.04331323836616964	-0.128096870328805	0.09736914051000999	0.10598984812213387
LTC4S	0.21911980780811358	-0.05742146421774997	-0.09039819514673553	-0.2444073241312743	-0.0029620639790086173	0.08344500992397749	0.1296936867178321	-0.0019106194361675432	0.14449907910087229	-0.285289786752982
MGAT4B	0.3965048807020049	0.01640594722078338	0.1090412138208342	-0.1425589920034693	0.10949650234567727	-0.15803246528716608	0.049049210273808826	0.13422113865661553	0.3008289238611831	0.09197274386408608
SQSTM1	0.44563187947174415	-0.2782032877823769	0.014037472989816238	-0.20656304642206738	-0.1495999807074172	-0.2047497771608873	-0.04237731286205204	-0.13495006280245245	-0.021737480372358342	-0.06302440264474729
C5orf45	0.5441123307575475	0.11028195682986006	0.35553817097132345	-0.05500763091557559	0.06197537516085643	0.04811774279430401	0.1767869885209026	0.20028960163998932	0.20546863659365688	0.08274503158050038
